", 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s;;;;;;;;7:57:27;AM;tps;rtps;wtps;bread/s;bwrtn/s
08:20:47 AM      1,50      0,00      1,50      0,00     34,40;;;;;;;;8:20:47;AM;1,5;0;1,5;0;34,4
08:20:57 AM      2,30      0,00      2,30      0,00     28,80;;;;;;;;8:20:57;AM;2,3;0;2,3;0;28,8
08:21:07 AM      1,90      0,00      1,90      0,00     49,60;;;;;;;;8:21:07;AM;1,9;0;1,9;0;49,6
08:21:17 AM      1,80      0,00      1,80      0,00     35,20;;;;;;;;8:21:17;AM;1,8;0;1,8;0;35,2
08:21:27 AM      2,00      0,00      2,00      0,00     47,20;;;;;;;;8:21:27;AM;2;0;2;0;47,2
08:21:37 AM      1,80      0,00      1,80      0,00     28,00;;;;;;;;8:21:37;AM;1,8;0;1,8;0;28
08:21:47 AM      1,50      0,00      1,50      0,00     29,60;;;;;;;;8:21:47;AM;1,5;0;1,5;0;29,6
08:21:57 AM      1,90      0,00      1,90      0,00     41,60;;;;;;;;8:21:57;AM;1,9;0;1,9;0;41,6
08:22:07 AM      3,60      0,00      3,60      0,00     60,80;;;;;;;;8:22:07;AM;3,6;0;3,6;0;60,8
08:22:17 AM      1,50      0,00      1,50      0,00     34,40;;;;;;;;8:22:17;AM;1,5;0;1,5;0;34,4
08:22:27 AM      1,80      0,00      1,80      0,00     34,40;;;;;;;;8:22:27;AM;1,8;0;1,8;0;34,4
08:22:37 AM      1,60      0,00      1,60      0,00     31,20;;;;;;;;8:22:37;AM;1,6;0;1,6;0;31,2
08:22:47 AM      1,60      0,00      1,60      0,00     32,00;;;;;;;;8:22:47;AM;1,6;0;1,6;0;32
08:22:57 AM      1,70      0,00      1,70      0,00     36,80;;;;;;;;8:22:57;AM;1,7;0;1,7;0;36,8
08:23:07 AM      1,60      0,00      1,60      0,00     34,40;;;;;;;;8:23:07;AM;1,6;0;1,6;0;34,4
08:23:17 AM      5,20      0,00      5,20      0,00     94,40;;;;;;;;8:23:17;AM;5,2;0;5,2;0;94,4
08:23:27 AM      1,70      0,00      1,70      0,00     44,00;;;;;;;;8:23:27;AM;1,7;0;1,7;0;44
08:23:37 AM      1,40      0,00      1,40      0,00     30,40;;;;;;;;8:23:37;AM;1,4;0;1,4;0;30,4
08:23:47 AM      5,30      0,00      5,30      0,00     67,20;;;;;;;;8:23:47;AM;5,3;0;5,3;0;67,2
08:23:57 AM      5,40      0,00      5,40      0,00     76,80;;;;;;;;8:23:57;AM;5,4;0;5,4;0;76,8
08:24:07 AM      1,90      0,00      1,90      0,00     52,00;;;;;;;;8:24:07;AM;1,9;0;1,9;0;52
08:24:17 AM      1,20      0,00      1,20      0,00     27,20;;;;;;;;8:24:17;AM;1,2;0;1,2;0;27,2
08:24:27 AM      1,30      0,00      1,30      0,00     31,20;;;;;;;;8:24:27;AM;1,3;0;1,3;0;31,2
08:24:37 AM      3,10      0,00      3,10      0,00     47,20;;;;;;;;8:24:37;AM;3,1;0;3,1;0;47,2
08:24:47 AM      3,30      0,00      3,30      0,00     49,60;;;;;;;;8:24:47;AM;3,3;0;3,3;0;49,6
08:24:57 AM      1,30      0,00      1,30      0,00     31,20;;;;;;;;8:24:57;AM;1,3;0;1,3;0;31,2
08:25:07 AM      1,40      0,00      1,40      0,00     33,60;;;;;;;;8:25:07;AM;1,4;0;1,4;0;33,6
08:25:17 AM      1,20      0,00      1,20      0,00     26,40;;;;;;;;8:25:17;AM;1,2;0;1,2;0;26,4
08:25:27 AM      3,60      0,00      3,60      0,00     60,80;;;;;;;;8:25:27;AM;3,6;0;3,6;0;60,8
08:25:37 AM      1,30      0,00      1,30      0,00     32,00;;;;;;;;8:25:37;AM;1,3;0;1,3;0;32
08:25:47 AM      1,20      0,00      1,20      0,00     28,80;;;;;;;;8:25:47;AM;1,2;0;1,2;0;28,8
08:25:57 AM      2,00      0,00      2,00      0,00     36,80;;;;;;;;8:25:57;AM;2;0;2;0;36,8
08:26:07 AM      2,90      0,00      2,90      0,00     59,20;;;;;;;;8:26:07;AM;2,9;0;2,9;0;59,2
08:26:17 AM      1,10      0,00      1,10      0,00     25,60;;;;;;;;8:26:17;AM;1,1;0;1,1;0;25,6
