"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
07:57:13 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked;;;;;;;;;7:57:13;AM;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
08:21:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:21:13;AM;0;393;0;0,01;0,05;0
08:21:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:21:23;AM;0;393;0;0,01;0,05;0
08:21:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:21:33;AM;0;393;0;0,01;0,05;0
08:21:43 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:21:43;AM;1;393;0;0,01;0,05;0
08:21:53 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:21:53;AM;1;394;0;0,01;0,05;0
08:22:03 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:22:03;AM;0;394;0;0,01;0,05;0
08:22:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:22:13;AM;0;393;0;0,01;0,05;0
08:22:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:22:23;AM;0;393;0;0,01;0,05;0
08:22:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:22:33;AM;0;393;0;0,01;0,05;0
08:22:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:22:43;AM;0;393;0;0,01;0,05;0
08:22:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:22:53;AM;0;393;0;0,01;0,05;0
08:23:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:23:03;AM;0;393;0;0,01;0,05;0
08:23:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:23:13;AM;0;393;0;0,01;0,05;0
08:23:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:23:23;AM;1;393;0;0,01;0,05;0
08:23:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:23:33;AM;0;393;0;0,01;0,05;0
08:23:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:23:43;AM;0;393;0;0,01;0,05;0
08:23:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:23:53;AM;0;393;0;0,01;0,05;0
08:24:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:24:03;AM;0;393;0;0,01;0,05;0
08:24:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:24:13;AM;1;393;0;0,01;0,05;0
08:24:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:24:23;AM;1;393;0;0,01;0,05;0
08:24:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:24:33;AM;0;393;0;0,01;0,05;0
08:24:43 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:24:43;AM;0;394;0;0,01;0,05;0
08:24:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:24:53;AM;0;393;0;0,01;0,05;0
08:25:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:25:03;AM;0;393;0;0,01;0,05;0
08:25:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:25:13;AM;0;393;0;0,01;0,05;0
08:25:23 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:25:23;AM;0;394;0;0,01;0,05;0
08:25:33 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:25:33;AM;1;393;0;0,01;0,05;0
08:25:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:25:43;AM;0;393;0;0,01;0,05;0
08:25:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:25:53;AM;1;393;0;0,01;0,05;0
08:26:03 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:26:03;AM;1;393;0;0,01;0,05;0
08:26:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:26:13;AM;1;393;0;0,01;0,05;0
08:26:23 AM         1       395      0,00      0,01      0,05         0;;;;;;;;;8:26:23;AM;1;395;0;0,01;0,05;0
08:26:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:26:33;AM;0;393;0;0,01;0,05;0
08:26:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:26:43;AM;0;393;0;0,01;0,05;0
08:26:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:26:53;AM;1;393;0;0,01;0,05;0
08:27:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:27:03;AM;0;393;0;0,01;0,05;0
08:27:13 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:27:13;AM;0;394;0;0,01;0,05;0
08:27:23 AM         2       393      0,00      0,01      0,05         0;;;;;;;;;8:27:23;AM;2;393;0;0,01;0,05;0
08:27:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:27:33;AM;0;393;0;0,01;0,05;0
08:27:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:27:43;AM;0;393;0;0,01;0,05;0
08:27:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:27:53;AM;0;393;0;0,01;0,05;0
08:28:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:28:03;AM;0;393;0;0,01;0,05;0
08:28:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:28:13;AM;0;393;0;0,01;0,05;0
08:28:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:28:23;AM;0;393;0;0,01;0,05;0
08:28:33 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:28:33;AM;1;393;0;0,01;0,05;0
08:28:43 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:28:43;AM;1;393;0;0,01;0,05;0
