"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
07:57:16 AM kbswpfree kbswpused  %swpused  kbswpcad   %swpcad;;;;;;;;;7:57:16;AM;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
08:26:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:26:36;AM;0;0;0;0;0
08:26:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:26:46;AM;0;0;0;0;0
08:26:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:26:56;AM;0;0;0;0;0
08:27:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:27:06;AM;0;0;0;0;0
08:27:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:27:16;AM;0;0;0;0;0
08:27:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:27:26;AM;0;0;0;0;0
08:27:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:27:36;AM;0;0;0;0;0
08:27:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:27:46;AM;0;0;0;0;0
08:27:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:27:56;AM;0;0;0;0;0
08:28:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:28:06;AM;0;0;0;0;0
08:28:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:28:16;AM;0;0;0;0;0
08:28:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:28:26;AM;0;0;0;0;0
08:28:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:28:36;AM;0;0;0;0;0
08:28:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:28:46;AM;0;0;0;0;0
08:28:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:28:56;AM;0;0;0;0;0
08:29:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:29:06;AM;0;0;0;0;0
08:29:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:29:16;AM;0;0;0;0;0
