"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
07:57:21 AM kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty;;;;;;;;;;;;;7:57:21;AM;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
08:09:51 AM   1542952   6447068     80,69    179172   4695812   2863836     35,84   5066936    951484       128;;;;;;;;;;;;;8:09:51;AM;1542952;6447068;80,69;179172;4695812;2863836;35,84;5066936;951484;128
08:10:01 AM   1542504   6447516     80,69    179172   4695820   2863812     35,84   5066992    951484       108;;;;;;;;;;;;;8:10:01;AM;1542504;6447516;80,69;179172;4695820;2863812;35,84;5066992;951484;108
08:10:11 AM   1543008   6447012     80,69    179172   4695828   2864056     35,85   5065896    951480       160;;;;;;;;;;;;;8:10:11;AM;1543008;6447012;80,69;179172;4695828;2864056;35,85;5065896;951480;160
08:10:21 AM   1543024   6446996     80,69    179172   4695836   2864056     35,85   5065904    951480       156;;;;;;;;;;;;;8:10:21;AM;1543024;6446996;80,69;179172;4695836;2864056;35,85;5065904;951480;156
08:10:31 AM   1543240   6446780     80,69    179172   4695852   2863800     35,84   5066272    951484       116;;;;;;;;;;;;;8:10:31;AM;1543240;6446780;80,69;179172;4695852;2863800;35,84;5066272;951484;116
08:10:41 AM   1544204   6445816     80,67    179172   4695856   2863200     35,83   5065720    951480       124;;;;;;;;;;;;;8:10:41;AM;1544204;6445816;80,67;179172;4695856;2863200;35,83;5065720;951480;124
08:10:51 AM   1544328   6445692     80,67    179172   4695864   2863200     35,83   5065728    951480       144;;;;;;;;;;;;;8:10:51;AM;1544328;6445692;80,67;179172;4695864;2863200;35,83;5065728;951480;144
08:11:01 AM   1543956   6446064     80,68    179172   4695868   2863936     35,84   5066356    951480       148;;;;;;;;;;;;;8:11:01;AM;1543956;6446064;80,68;179172;4695868;2863936;35,84;5066356;951480;148
08:11:11 AM   1543336   6446684     80,68    179172   4695872   2863700     35,84   5067384    951480        96;;;;;;;;;;;;;8:11:11;AM;1543336;6446684;80,68;179172;4695872;2863700;35,84;5067384;951480;96
08:11:21 AM   1543320   6446700     80,68    179172   4695888   2863840     35,84   5067436    951488        96;;;;;;;;;;;;;8:11:21;AM;1543320;6446700;80,68;179172;4695888;2863840;35,84;5067436;951488;96
